"","geneSet"
"Group_PBMCs_Sample_PBMCs 1_7705250",0.166199158485274
"Group_PBMCs_Sample_PBMCs 1_7760569",0.0964703132304815
"Group_PBMCs_Sample_PBMCs 1_7769473",0.0868863955119215
"Group_PBMCs_Sample_PBMCs 1_7788473",0.117975689574568
"Group_PBMCs_Sample_PBMCs 1_7822776",0.122323515661524
"Group_PBMCs_Sample_PBMCs 1_7835601",0.094109396914446
"Group_PBMCs_Sample_PBMCs 1_7873476",0.129195885928004
"Group_PBMCs_Sample_PBMCs 1_7892202",0.124123422159888
"Group_PBMCs_Sample_PBMCs 1_8000981",0.0477092099111734
"Group_PBMCs_Sample_PBMCs 1_8020972",0.0915848527349229
"Group_PBMCs_Sample_PBMCs 1_8033297",0.0276998597475456
"Group_PBMCs_Sample_PBMCs 1_8037036",0.0613604488078541
"Group_PBMCs_Sample_PBMCs 1_8060373",0.0676250584385227
"Group_PBMCs_Sample_PBMCs 1_8093025",0.0635343618513324
"Group_PBMCs_Sample_PBMCs 1_8154681",0.0881954184198223
"Group_PBMCs_Sample_PBMCs 1_8164381",0.0857410004675082
"Group_PBMCs_Sample_PBMCs 1_8180898",0.137120149602618
"Group_PBMCs_Sample_PBMCs 1_8183777",0.0940158952781674
"Group_PBMCs_Sample_PBMCs 1_8199148",0.0793361383824217
"Group_PBMCs_Sample_PBMCs 1_8230970",0.0986442262739598
"Group_PBMCs_Sample_PBMCs 1_8239774",0.0767882187938289
"Group_PBMCs_Sample_PBMCs 1_8254968",0.129008882655446
"Group_PBMCs_Sample_PBMCs 1_8273116",0.265427769985975
"Group_PBMCs_Sample_PBMCs 1_8280788",0.14109396914446
"Group_PBMCs_Sample_PBMCs 1_8290509",0.107035998129967
"Group_PBMCs_Sample_PBMCs 1_8293529",0.079382889200561
"Group_PBMCs_Sample_PBMCs 1_8302968",0.0267414679756896
"Group_PBMCs_Sample_PBMCs 1_8339284",0.135577372604021
"Group_PBMCs_Sample_PBMCs 1_8361320",0.0759233286582515
"Group_PBMCs_Sample_PBMCs 1_8364783",0.0380551659654044
"Group_PBMCs_Sample_PBMCs 1_8374977",0.18971482000935
"Group_PBMCs_Sample_PBMCs 1_8398172",0.095956054230949
"Group_PBMCs_Sample_PBMCs 1_8445727",0.0440860215053763
"Group_PBMCs_Sample_PBMCs 1_8450506",0.0290556334735858
"Group_PBMCs_Sample_PBMCs 1_8520159",0.0704534829359514
"Group_PBMCs_Sample_PBMCs 1_8557383",0.0349696119682094
"Group_PBMCs_Sample_PBMCs 1_8611875",0.11028517999065
"Group_PBMCs_Sample_PBMCs 1_8623262",0.150327255726975
"Group_PBMCs_Sample_PBMCs 1_8640721",0.38971482000935
"Group_PBMCs_Sample_PBMCs 1_8664256",0.0548387096774194
"Group_PBMCs_Sample_PBMCs 1_8678872",0.12328190743338
"Group_PBMCs_Sample_PBMCs 1_8708153",0.143501636278635
"Group_PBMCs_Sample_PBMCs 1_8719996",0.0857410004675082
"Group_PBMCs_Sample_PBMCs 1_8727619",0.0751519401589528
"Group_PBMCs_Sample_PBMCs 1_8731035",0.225292192613371
