Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RXRA,529.6649641479449,-0.639010889502721,0.17207486916366965,-3.7135631287037243,0.00020436145698440826,0.011592910410245093
APOBR,115.15643795914269,-0.6377203309707631,0.25221890796570323,-2.528439822828352,0.011457072523710053,0.17866969505289898
BAX,329.34032234894397,-0.634497933097106,0.16795933753478132,-3.777687757107955,0.00015829116162037476,0.009901598528845455
EIF2S2,513.9694203925789,-0.6341738700774657,0.2056724031061518,-3.083417417698744,0.0020463789765615844,0.05951507896249366
GRN,990.4544027895935,-0.6331903447763692,0.16034988960725596,-3.948804369789331,7.854250499575372e-05,0.005637438643829836
GSTP1,441.31557570654945,-0.6323555706095098,0.20016676954241538,-3.1591436083775806,0.0015823349877101029,0.04962858503470594
ZNF106,229.33251007753765,-0.6318976761415421,0.31953216392147743,-1.977571423128553,0.04797707573207658,0.3919874064228148
ST3GAL2,242.96019708461793,-0.6317544871639885,0.20711211046719352,-3.0503020114995074,0.002286113537677519,0.06415441925156687
P4HA1,104.83860128625862,-0.6306624017574713,0.21594795510431455,-2.92043701665444,0.0034954084313282264,0.0838516659780346
GJA3,171.16186182021306,-0.6290925359758862,1.3459067604588357,-0.4674116769882492,0.6402053698185122,0.9360250263280756
ZMIZ2,305.3732839688672,-0.6273731555066608,0.1807306139201649,-3.4713164632074665,0.000517913241302429,0.022180623372102092
KLHL12,119.21696937732831,-0.6267811986831053,0.26282322901597865,-2.3848013778302652,0.017088344694789898,0.22457534688681044
RBM17,325.08348998482126,-0.6265416524058398,0.21344241525814756,-2.9354130557793314,0.003331039461676662,0.08199268923685514
NECAP1,137.8753454761829,-0.6251794217271444,0.2521378136444322,-2.4795147252636207,0.013156129768708651,0.19562972778251098
PLA2G7,2063.1557819405057,-0.624991154488326,0.22668204177600637,-2.757126897180081,0.0058311717110645185,0.11659219580140967
TMEM106A,137.00490715901796,-0.6233167194576796,0.2339315746323656,-2.6645258145987816,0.007709694885332559,0.14036659127003034
ORAI1,142.78297592623974,-0.6228718709724593,0.22692974223280146,-2.7447784712744747,0.0060551757127067845,0.12021241570066997
ITPR1,187.00511584171022,-0.6226357742994799,0.25364422890960253,-2.4547602639182617,0.014097857139822824,0.20315792328776852
MRPL52,125.08930466898518,-0.6226309014485775,0.2355608507574529,-2.6431849751199716,0.008213015286972552,0.14620211791451776
SNN,180.92227108685063,-0.6221155389152017,0.23218027601839988,-2.6794504235402843,0.0073743122386047515,0.1362808611468561
